Name,Location,City,P.O. Box,Phone,Mobile,Company Page Link,Logo URL
Afamia Al Shaam,Khalifa,Abu Dhabi,N/A,02-5526630,N/A,https://www.yellowpages-uae.com/afamia-al-shaam-102712.html,
Afdal Restaurant and Grill,Muroor Rd,Abu Dhabi,55204,02-4493916,N/A,https://www.yellowpages-uae.com/afdal-restaurant-and-grill-123500.html,
Afghan Darbar Restaurant LLC,"Near Mubarak Centre, Al Nabbah Area",Sharjah,40179,06-5638761,N/A,https://www.yellowpages-uae.com/afghan-darbar-restaurant-llc-147100.html,
Agemono Restaurant,"Al Khail Mall, Al Quoz Indl Area",Dubai,124145,04-3397925,N/A,https://www.yellowpages-uae.com/agemono-restaurant-132116.html,
Ahl Almandi Restaurant,"Near NMC Hospital, Amman Rd, Al Nahda 2",Dubai,N/A,04-2574448,N/A,https://www.yellowpages-uae.com/ahl-almandi-restaurant-68506.html,
Ahmed Al Arab Restaurant,Muroor Rd,Abu Dhabi,70112,02-4431848,N/A,https://www.yellowpages-uae.com/ahmed-al-arab-restaurant-118134.html,
Airlines Restaurant,Hamdan St,Abu Dhabi,4862,02-6335214,N/A,https://www.yellowpages-uae.com/airlines-restaurant-104292.html,
Ajman Spring Restaurant & Grills,Opp Ajman Traffic Police Dept,Ajman,2,06-7462277,N/A,https://www.yellowpages-uae.com/ajman-spring-restaurant-grills-176924.html,
Akher Saa Restaurant,Jamal Abdul Nasir Street,Sharjah,N/A,06-5501999,N/A,https://www.yellowpages-uae.com/akher-saa-restaurant-103615.html,
Al Abraj Restaurant,"Bhnd Joy Alukkas, Rolla",Sharjah,2907,06-5615335,N/A,https://www.yellowpages-uae.com/al-abraj-restaurant-68587.html,
Al Afghani Al Khas Lil Kabab Restaurant LLC,"Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara",Sharjah,N/A,06-5506674,N/A,https://www.yellowpages-uae.com/al-afghani-al-khas-lil-kabab-restaurant-llc-103485.html,
Al Afrah Al Thahabya Restaurant LLC,"Near Mega Mall, Abu Shagara",Sharjah,N/A,06-5512323,N/A,https://www.yellowpages-uae.com/al-afrah-al-thahabya-restaurant-llc-175370.html,
Al Ain Restaurant,"Next KFC, Airport Rd",Abu Dhabi,25361,02-6422507,N/A,https://www.yellowpages-uae.com/al-ain-restaurant-129027.html,
Al Akhwan Restaurant,N/A,Dubai,N/A,04-2621704,N/A,https://www.yellowpages-uae.com/al-akhwan-restaurant-146795.html,
Al Akl Al Har Restaurant LLC,"Shop 2 & 3, Al Qassimiya",Sharjah,30459,06-5507939,N/A,https://www.yellowpages-uae.com/al-akl-al-har-restaurant-llc-148014.html,
Al Amoor Restaurant,Al Quoz Indl Area,Dubai,N/A,04-3470787,N/A,https://www.yellowpages-uae.com/al-amoor-restaurant-175202.html,
Al Anood Restaurant,"Near Asmara S/Market, Al Mamoorah",Ras Al Khaimah,12242,07-2236516,N/A,https://www.yellowpages-uae.com/al-anood-restaurant-138539.html,
Al Arrab Restaurant,Dubai Silicon Oasis Authority,Dubai,19492,04-3264949,N/A,https://www.yellowpages-uae.com/al-arrab-restaurant-153642.html,
Al Aumdah Restaurant,"Al Mamzar Building, Abu Hail",Dubai,N/A,04-2667749,N/A,https://www.yellowpages-uae.com/al-aumdah-restaurant-175275.html,
Al Ayoubia Restaurant,Al Nasr St,Abu Dhabi,71955,02-6215242,N/A,https://www.yellowpages-uae.com/al-ayoubia-restaurant-138785.html,
Al Badawi Restaurant,Jamal Abdul Nasir Street,Sharjah,N/A,06-5444066,N/A,https://www.yellowpages-uae.com/al-badawi-restaurant-103619.html,
Al Bait Al Malaky Mandi Restaurant,"Opp Safeer Mall, Ittihad Road",Sharjah,N/A,06-5256663,N/A,https://www.yellowpages-uae.com/al-bait-al-malaky-mandi-restaurant-175596.html,
Al Banadir Family Restaurant LLC,"Near Manama Center, Fire Stn R/A",Sharjah,N/A,06-5628928,N/A,https://www.yellowpages-uae.com/al-banadir-family-restaurant-llc-151044.html,
Al Barakah Restaurant,"Near Natl S/Market, Rams Rd",Ras Al Khaimah,4612,07-2238349,N/A,https://www.yellowpages-uae.com/al-barakah-restaurant-134324.html,
Al Bawadir Restaurant,N/A,Sharjah,70803,06-5515957,N/A,https://www.yellowpages-uae.com/al-bawadir-restaurant-147687.html,
Al Bayan Purification and Potable Water LLC,Mussafah Indl Area,Abu Dhabi,51845,02-5510370,N/A,https://www.yellowpages-uae.com/al-bayan-purification-and-potable-water-llc-106237.html,
Al Bustan Hotel,"Near Immigration Office, Al Kuwait Rd",Sharjah,6006,06-5731555,N/A,https://www.yellowpages-uae.com/al-bustan-hotel-113458.html,
Al Bustan Restaurant,Al Etihad Rd,Umm Al Quwain,505,06-7670077,N/A,https://www.yellowpages-uae.com/al-bustan-restaurant-149782.html,
Al Daba Restaurant,"Near Moonlight S/Market, Julphar Rd, Julan",Ras Al Khaimah,4803,07-2238610,N/A,https://www.yellowpages-uae.com/al-daba-restaurant-138076.html,
Al Dahleez Restaurant,Garhoud,Dubai,37137,04-2823922,N/A,https://www.yellowpages-uae.com/al-dahleez-restaurant-127755.html,
Al Diar Siji Hotel,"Next to Fujairah Trade Centre, Beside Etisalat Bldg",Fujairah,1199,09-2232000,N/A,https://www.yellowpages-uae.com/al-diar-siji-hotel-117567.html,
Al Fakher Mandi & Traditional Restaurant,"Behind Labour Ministry, Hor Al Anz",Dubai,N/A,04-2664660,N/A,https://www.yellowpages-uae.com/al-fakher-mandi-traditional-restaurant-172953.html,
Al Falah Cafeteria,Abu Shagara,Sharjah,N/A,06-5482275,N/A,https://www.yellowpages-uae.com/al-falah-cafeteria-175213.html,
Al Falah Restaurant and Cafeteria,Al Salam Road,Fujairah,N/A,09-2235151,N/A,https://www.yellowpages-uae.com/al-falah-restaurant-and-cafeteria-178652.html,
Al Falak Restaurant,"Baladiya Building, Near Wadi 28, Al Maqam",Al Ain,3232,03-7681200,N/A,https://www.yellowpages-uae.com/al-falak-restaurant-173331.html,
Al Falasi Restaurant & Cafeteria,Al Ghusais,Dubai,18977,04-2673141,N/A,https://www.yellowpages-uae.com/al-falasi-restaurant-cafeteria-103525.html,
Al Fanar Restaurant,"Near Ritz Carlton, Vietnam Village",Abu Dhabi,N/A,02-4481144,N/A,https://www.yellowpages-uae.com/al-fanar-restaurant-175608.html,
Al Farah Pastry & Grills,"Behind Crown Plaza, Hamdan Street",Abu Dhabi,N/A,02-6333777,N/A,https://www.yellowpages-uae.com/al-farah-pastry-grills-175507.html,
Al Fareej Restaurant,"Near Etisalat Office, Hamdan Street",Abu Dhabi,N/A,02-6393335,N/A,https://www.yellowpages-uae.com/al-fareej-restaurant-175552.html,
Al Faris Restaurant,"Opp Old Fire Brigade, Al Muntazar Rd",Ras Al Khaimah,10308,07-2285682,N/A,https://www.yellowpages-uae.com/al-faris-restaurant-134642.html,
Al Fujairah Restaurant,Electra Rd,Abu Dhabi,36874,02-6782973,N/A,https://www.yellowpages-uae.com/al-fujairah-restaurant-138806.html,
Al Fursan,"Near Fire Station, Dibba",Fujairah,13227,09-2443211,N/A,https://www.yellowpages-uae.com/al-fursan-146592.html,
Al Ghub Restaurant,"Bin Sultan Rd, Mamourah",Ras Al Khaimah,5410,07-2282959,N/A,https://www.yellowpages-uae.com/al-ghub-restaurant-134251.html,
Al Grissino,DIFC,Dubai,N/A,04-3524000,N/A,https://www.yellowpages-uae.com/al-grissino-175790.html,
Al Habsha Restaurant,"Behind KIA Showroom, TCA",Abu Dhabi,N/A,02-6770014,N/A,https://www.yellowpages-uae.com/al-habsha-restaurant-175521.html,
Al Hadheeth Restaurant,"Near Rotana Hotel, Nabaa",Sharjah,96159,06-5632275,N/A,https://www.yellowpages-uae.com/al-hadheeth-restaurant-148166.html,
Al Hajis Cafeteria and Restaurant,"Sunshine Bldg, Near Al Tayer Motors, Al Garhoud",Dubai,57671,04-2868244,N/A,https://www.yellowpages-uae.com/al-hajis-cafeteria-and-restaurant-136247.html,
Al Hakorah Restaurant & Catering,Salam St,Abu Dhabi,4602,02-6447979,N/A,https://www.yellowpages-uae.com/al-hakorah-restaurant-catering-164760.html,
Al Hallab Restaurant and Sweets LLC,Al Garhoud,Dubai,40350,04-2823388,N/A,https://www.yellowpages-uae.com/al-hallab-restaurant-and-sweets-llc-128203.html,
Al Hamadi Restaurant,"Al Hamra, Jazeera",Ras Al Khaimah,6487,07-2445416,N/A,https://www.yellowpages-uae.com/al-hamadi-restaurant-135408.html,
Al Haram Restaurant,"Near Emarat Petrol Pump, Bazaar Area",Umm Al Quwain,213,06-7656965,N/A,https://www.yellowpages-uae.com/al-haram-restaurant-45179.html,
Al Heel Rest and Catering,Khalidia,Abu Dhabi,480,02-6215116,N/A,https://www.yellowpages-uae.com/al-heel-rest-and-catering-135552.html,
Al Hulmiah Restaurant,"Near Liberty Signal, Al Wahda St",Sharjah,N/A,06-5259382,N/A,https://www.yellowpages-uae.com/al-hulmiah-restaurant-103484.html,
Al Ibrahimi Palace Restaurant,"Opp New Burjuman Centre, Karama",Dubai,N/A,04-3977070,N/A,https://www.yellowpages-uae.com/al-ibrahimi-palace-restaurant-175206.html,
Al Ibtihal Restaurant,N/A,Dubai,N/A,04-3311170,N/A,https://www.yellowpages-uae.com/al-ibtihal-restaurant-151051.html,
Al Ijaza Cafeteria,"Beach Road, Jumeirah 1",Dubai,N/A,04-3444874,N/A,https://www.yellowpages-uae.com/al-ijaza-cafeteria-175650.html,
Al Insaf Al Afghani Restaurant,"Near Mubarak Centre, Al Nabba, Rolla",Sharjah,4362,06-5618840,N/A,https://www.yellowpages-uae.com/al-insaf-al-afghani-restaurant-147068.html,
Al Insha Restaurant,"Opp Emirates Islamic Bank, Near National Paints, Kalba Rd",Sharjah,N/A,06-5358438,N/A,https://www.yellowpages-uae.com/al-insha-restaurant-147388.html,
Al Irshad Restaurant,Khabisi Area,Al Ain,67394,03-7620492,N/A,https://www.yellowpages-uae.com/al-irshad-restaurant-129163.html,
Al Ishbaa Restaurant,Near Mussalla Park,Sharjah,N/A,06-5620410,N/A,https://www.yellowpages-uae.com/al-ishbaa-restaurant-144273.html,
"Al Islami Foods Co, ( Al Farooj Head Office)",N/A,Jebel Ali,21984,N/A,N/A,https://www.yellowpages-uae.com/al-islami-foods-co-al-farooj-head-office--146310.html,
Al Joory Hyderabadi Restaurant,"Near Old Honda S/R, Abu Shagara",Sharjah,N/A,06-5447373,N/A,https://www.yellowpages-uae.com/al-joory-hyderabadi-restaurant-175363.html,
Al Kabab Al Afghani Al Jadeed Restaurant,"Opp Sadaf Rest, Al Marija St, Mena Rd",Sharjah,N/A,06-0522554,N/A,https://www.yellowpages-uae.com/al-kabab-al-afghani-al-jadeed-restaurant-147102.html,
Al Kabab Al Laziz Afghani Rest LLC,"Near Zulekha Hospital, Al Zahra St, Nasiriya",Sharjah,N/A,06-5656127,N/A,https://www.yellowpages-uae.com/al-kabab-al-laziz-afghani-rest-llc-148016.html,
Al Karnak,Al Diyafa,Dubai,N/A,04-3980123,N/A,https://www.yellowpages-uae.com/al-karnak-103610.html,
Al Khaial Cafeteria & Restaurant,"Al Mamzar Building, Bhnd Public Library",Dubai,N/A,04-2628781,N/A,https://www.yellowpages-uae.com/al-khaial-cafeteria-restaurant-172954.html,
Al Khaja Group,N/A,Dubai,5060,04-3808787,N/A,https://www.yellowpages-uae.com/al-khaja-group-152652.html,
Al Khaja Hospitality,Deira,Dubai,5060,04-2973000,N/A,https://www.yellowpages-uae.com/al-khaja-hospitality-113662.html,
Al Khaleej Al Arabi Pastry,N/A,Sharjah,N/A,06-5368950,N/A,https://www.yellowpages-uae.com/al-khaleej-al-arabi-pastry-175234.html,
Al Khaleej Al Latheethah Pastry,Al Buhaira,Sharjah,N/A,06-5564443,N/A,https://www.yellowpages-uae.com/al-khaleej-al-latheethah-pastry-145530.html,
Al Khiyma Restaurant,"Near Sahara Centre, Al Nahda St",Sharjah,21107,06-5314858,N/A,https://www.yellowpages-uae.com/al-khiyma-restaurant-136501.html,
Al Khoor Restaurant,"Bhnd Old Sharjah Cinema, Rolla",Sharjah,20164,06-5681059,N/A,https://www.yellowpages-uae.com/al-khoor-restaurant-129363.html,
Al Kurup Restaurant,"Near Taxi Station, Industrial Area",Umm Al Quwain,387,06-7664386,N/A,https://www.yellowpages-uae.com/al-kurup-restaurant-45183.html,
Al Maharah Restaurant,"Opp Al Majaz Park, Al Wahda St",Sharjah,23935,06-5599554,N/A,https://www.yellowpages-uae.com/al-maharah-restaurant-106286.html,
Al Majas Restaurant LLC,Bur Dubai,Dubai,102995,04-3930042,N/A,https://www.yellowpages-uae.com/al-majas-restaurant-llc-175225.html,
Al Malaki Rajasthan Restaurant,"Near Wafa Supermarket, National Paint",Sharjah,25648,06-5340441,N/A,https://www.yellowpages-uae.com/al-malaki-rajasthan-restaurant-147202.html,
Al Mallas,"Jumeirah St, Umm Suqeim 2",Dubai,N/A,800-625527,N/A,https://www.yellowpages-uae.com/al-mallas-148174.html,
Al Manbar Cafeteria,"Near Fire Station, Muwaileh",Sharjah,N/A,06-5356919,N/A,https://www.yellowpages-uae.com/al-manbar-cafeteria-147103.html,
Al Manbar Restaurant & Cafeteria,"Near Fair Point, Kalba Rd, Indl Area 17",Sharjah,N/A,06-5359454,N/A,https://www.yellowpages-uae.com/al-manbar-restaurant-cafeteria-147657.html,
Al Mansoori Restaurant,Khalidiya,Abu Dhabi,42756,02-6219001,N/A,https://www.yellowpages-uae.com/al-mansoori-restaurant-126752.html,
Al Marasim Al Afghani Restaurant,"Near KM Trading, Opp Tasheel. Abu Shagara",Sharjah,N/A,06-5599356,N/A,https://www.yellowpages-uae.com/al-marasim-al-afghani-restaurant-175591.html,
Al Mathaq Al Shamsi Restaurant,"Frij Murar, Deira",Dubai,N/A,04-2711945,N/A,https://www.yellowpages-uae.com/al-mathaq-al-shamsi-restaurant-175204.html,
Al Mayass Restaurant,Abu Dhabi Corniche,Abu Dhabi,N/A,02-6440440,N/A,https://www.yellowpages-uae.com/al-mayass-restaurant-175666.html,
Al Minar Restaurant,Deira,Dubai,N/A,04-2222622,N/A,https://www.yellowpages-uae.com/al-minar-restaurant-147690.html,
Al Misyal Bar,Liwa,Abu Dhabi,N/A,02-8822000,N/A,https://www.yellowpages-uae.com/al-misyal-bar-151062.html,
Al Mobile Restaurant,"Bhnd Central Bank, Abu Shagara",Sharjah,N/A,06-5593398,N/A,https://www.yellowpages-uae.com/al-mobile-restaurant-148303.html,
Al Nafoora Restaurant - Coral Deira Dubai,Al Muraqabbat Road,Dubai,82999,04-2128268,N/A,https://www.yellowpages-uae.com/al-nafoora-restaurant-coral-deira-dubai-148974.html,
Al Nahda Palace LLC,Al Nahda,Sharjah,N/A,06-5454422,N/A,https://www.yellowpages-uae.com/al-nahda-palace-llc-103632.html,
Al Nakheel Lounge - Grand Hyatt Dubai,Nakheel,Dubai,7978,04-3171100,N/A,https://www.yellowpages-uae.com/al-nakheel-lounge-grand-hyatt-dubai-122465.html,
Al Naseem Al Akhdar Restaurant,"Behind Fortune Hotel, Naif",Dubai,N/A,04-2233661,N/A,https://www.yellowpages-uae.com/al-naseem-al-akhdar-restaurant-175250.html,
Al Nashmi Restaurant,"Behind UAE Exchange, Bur Dubai",Dubai,N/A,04-3539926,N/A,https://www.yellowpages-uae.com/al-nashmi-restaurant-175580.html,
Al Nasr Cinema Restaurant,"Lulu Village, Muhaisnah, Qusais",Dubai,7135,04-2641925,N/A,https://www.yellowpages-uae.com/al-nasr-cinema-restaurant-117807.html,
Al Nasr Restaurant,"R/A 5, Jebel Ali Free Zone",Jebel Ali,16837,04-8818600,N/A,https://www.yellowpages-uae.com/al-nasr-restaurant-113698.html,
Al Nedaa Cafeteria,Bur Dubai,Dubai,85549,04-3593136,N/A,https://www.yellowpages-uae.com/al-nedaa-cafeteria-117716.html,
Al Noaman Restaurant and Cafeteria,"Sh Ahmed Bin Mohd Sharqi Road, Dibba Al Fujairah",Dibba,12134,09-2441404,N/A,https://www.yellowpages-uae.com/al-noaman-restaurant-and-cafeteria-59191.html,
Al Nouman Rest and Catering,Dibba,Fujairah,13124,09-2441404,N/A,https://www.yellowpages-uae.com/al-nouman-rest-and-catering-131600.html,
Al Omara Al Jadeed Restaurant,"Near Main Gate, R/A 5, Jebel Ali Free Zone",Jebel Ali,16837,04-8818518,N/A,https://www.yellowpages-uae.com/al-omara-al-jadeed-restaurant-119548.html,
Al Qabael Restaurant,Al Quoz 3,Dubai,11780,04-3392633,N/A,https://www.yellowpages-uae.com/al-qabael-restaurant-111850.html,
Al Qantarah Restaurant,Al Nahda,Sharjah,N/A,06-5316696,N/A,https://www.yellowpages-uae.com/al-qantarah-restaurant-147668.html,
Al Qasaba Restaurant,Al Zahara,Ajman,1259,06-7431383,N/A,https://www.yellowpages-uae.com/al-qasaba-restaurant-117300.html,
Al Qasr Grills,TCA,Abu Dhabi,45240,02-6449933,N/A,https://www.yellowpages-uae.com/al-qasr-grills-102718.html,
Al Qubtan Restaurant,N/A,Dubai,36093,04-2850530,N/A,https://www.yellowpages-uae.com/al-qubtan-restaurant-151882.html,
Al Rabash Mandi Restaurant,Al Nahda,Dubai,N/A,04-2344455,N/A,https://www.yellowpages-uae.com/al-rabash-mandi-restaurant-68521.html,
Al Raousha Restaurant & Grills,"Behind First Abu Dhabi Bank, Near Al Noor Hospital, Khalifa Street, Al Markaziya",Abu Dhabi,N/A,02-6272637,N/A,https://www.yellowpages-uae.com/al-raousha-restaurant-grills-175535.html,
Al Rawaq,Liwa,Abu Dhabi,N/A,02-8822000,N/A,https://www.yellowpages-uae.com/al-rawaq-151063.html,
Al Razooqi Restaurant,Al Quoz,Dubai,N/A,04-3383183,N/A,https://www.yellowpages-uae.com/al-razooqi-restaurant-147697.html,
Al Reef Al Yamani Restaurant & Bakeries,Abu Hail,Dubai,N/A,04-2699910,N/A,https://www.yellowpages-uae.com/al-reef-al-yamani-restaurant-bakeries-172955.html,
Al Reef Lebanese Rest & Grills,Al Qusais,Dubai,2601,04-2632700,N/A,https://www.yellowpages-uae.com/al-reef-lebanese-rest-grills-128809.html,
Al Reem Trays Restaurant,N/A,Abu Dhabi,N/A,02-6668649,N/A,https://www.yellowpages-uae.com/al-reem-trays-restaurant-102722.html,
Al Saad Restaurant,"Al Nakheel, Opp Al Rais Travels",Ras Al Khaimah,13135,07-2283889,N/A,https://www.yellowpages-uae.com/al-saad-restaurant-139777.html,
Al Safadi Grill & Restaurant,Al Qassimia,Sharjah,N/A,06-5751235,N/A,https://www.yellowpages-uae.com/al-safadi-grill-restaurant-147114.html,
Al Safary Restaurant,"Central Market, Dibba Al Hassan",Dibba,12116,09-2444749,N/A,https://www.yellowpages-uae.com/al-safary-restaurant-59202.html,
Al Safsaf Restaurant,Mussafah 10,Abu Dhabi,N/A,02-5522585,N/A,https://www.yellowpages-uae.com/al-safsaf-restaurant-145575.html,
Al Sahil Al Jadeed Restaurant,Abu Shagara,Sharjah,N/A,06-5485996,N/A,https://www.yellowpages-uae.com/al-sahil-al-jadeed-restaurant-175358.html,
Al Sakab,Shaikh Zayed Road,Dubai,N/A,04-3234333,N/A,https://www.yellowpages-uae.com/al-sakab-67333.html,
Al Satwa Garden Restaurant,Satwa,Dubai,N/A,04-3290052,N/A,https://www.yellowpages-uae.com/al-satwa-garden-restaurant-147661.html,
Al Shahama Cafeteria,"Muradi Rd, Satwa",Dubai,N/A,04-3327375,N/A,https://www.yellowpages-uae.com/al-shahama-cafeteria-145694.html,
Al Shaheen Restaurant,Bateen,Abu Dhabi,46127,02-6651164,N/A,https://www.yellowpages-uae.com/al-shaheen-restaurant-123136.html,
Al Shaki Restaurant,"Oman Rd, Al Nakheel",Ras Al Khaimah,11598,07-2288354,N/A,https://www.yellowpages-uae.com/al-shaki-restaurant-138414.html,
Al Sham Rose Restaurant,"Next to Dubai Women's College, Bhnd NMC, Al Qusais",Dubai,N/A,04-2677917,N/A,https://www.yellowpages-uae.com/al-sham-rose-restaurant-144665.html,
Al Sham Village Restaurant,"Jumeirah Beach Road, Umm Suqeim 2",Dubai,233485,04-3399517,N/A,https://www.yellowpages-uae.com/al-sham-village-restaurant-175540.html,
Al Shamah Cafeteria,"Near Al Wafa Centre, Muweilah",Sharjah,N/A,06-5356366,N/A,https://www.yellowpages-uae.com/al-shamah-cafeteria-147659.html,
Al Shameat Restaurant,"Near Al Waheda Post, Jamal Abdel Naser St",Sharjah,N/A,06-5535505,N/A,https://www.yellowpages-uae.com/al-shameat-restaurant-146794.html,
Al Shami Corner Rest,Jamal Abdul Nasir St,Sharjah,N/A,06-5558086,N/A,https://www.yellowpages-uae.com/al-shami-corner-rest-147658.html,
Al Shater Hassan Restaurant,N/A,Abu Dhabi,N/A,02-6416616,N/A,https://www.yellowpages-uae.com/al-shater-hassan-restaurant-145666.html,
Al Sheraa Al Dahbi Seafood Restaurant,Khalifa St,Abu Dhabi,41230,02-6277204,N/A,https://www.yellowpages-uae.com/al-sheraa-al-dahbi-seafood-restaurant-142541.html,
Al Sheraa Al Dhabi Restaurant,Khalfa Street A Noor Hosptal Bldg.,Abu Dhabi,N/A,050-8383454,N/A,https://www.yellowpages-uae.com/al-sheraa-al-dhabi-restaurant-144769.html,
Al Sheraa Dhahabi Sea Food Restaurant,Khalifa St,Abu Dhabi,41230,02-6277204,N/A,https://www.yellowpages-uae.com/al-sheraa-dhahabi-sea-food-restaurant-145667.html,
Al Shorafa Restaurant,Bur Dubai,Dubai,50589,04-3935678,N/A,https://www.yellowpages-uae.com/al-shorafa-restaurant-121486.html,
Al Shorfa Restaurant And Cafe,Dubai Marina,Dubai,238888,04-4525254,N/A,https://www.yellowpages-uae.com/al-shorfa-restaurant-and-cafe-154468.html,
Al Sibtain Restaurant,Old Passport Rd,Abu Dhabi,55104,02-6723472,N/A,https://www.yellowpages-uae.com/al-sibtain-restaurant-134171.html,
Al Sirath Restaurant & Grill,Al Qassimia,Sharjah,N/A,06-5743422,N/A,https://www.yellowpages-uae.com/al-sirath-restaurant-grill-146603.html,
Al Subat Restaurant,"Al Zahra St, Maysaloon",Sharjah,N/A,06-5638988,N/A,https://www.yellowpages-uae.com/al-subat-restaurant-147325.html,
Al Sukaria Restaurant & Cafe,"Al Sheebani Building, Al Seba St, Dubai Marina",Dubai,N/A,04-5530501,N/A,https://www.yellowpages-uae.com/al-sukaria-restaurant-cafe-172956.html,
Al Sultan Restaurant,Defence Rd,Abu Dhabi,70070,02-6415035,N/A,https://www.yellowpages-uae.com/al-sultan-restaurant-129563.html,
Al Sultan Restaurant,"Opp Dubai Comml Bank, Al Nakheel",Ras Al Khaimah,1063,07-2221076,N/A,https://www.yellowpages-uae.com/al-sultan-restaurant-121006.html,
Al Surur Traditional Kitchen,Ras Al Khor,Dubai,66743,04-2894328,N/A,https://www.yellowpages-uae.com/al-surur-traditional-kitchen-152407.html,
Al Tabaq Al Zahabi Restaurant,"Opp New Etisalat Building, Near Al Ghubaiba Bus Stn, Bur Dubai",Dubai,N/A,04-3933812,N/A,https://www.yellowpages-uae.com/al-tabaq-al-zahabi-restaurant-172957.html,
Al Taher Restaurant,Corniche Rd,Ajman,4683,06-7473569,N/A,https://www.yellowpages-uae.com/al-taher-restaurant-126528.html,
Al Tahi Al Arabic Restaurant LLC,Sahara Mall,Sharjah,N/A,06-5251919,N/A,https://www.yellowpages-uae.com/al-tahi-al-arabic-restaurant-llc-151065.html,
Al Taiba Restaurant,"Bhnd Pic & Save S/Market, King Faisal Rd",Sharjah,4427,06-5598255,N/A,https://www.yellowpages-uae.com/al-taiba-restaurant-136803.html,
Al Taj Restaurant,"Al Baraha, Deira",Dubai,251792,04-2711273,N/A,https://www.yellowpages-uae.com/al-taj-restaurant-126161.html,
Al Tannour,"Crowne Plaza, Sh zayed road",Dubai,N/A,04-3311111,N/A,https://www.yellowpages-uae.com/al-tannour-67642.html,
Al Tasamoh Kitchen and Mandi Rest,"Damascus Rd, Al Qusais",Dubai,48600,04-2676622,N/A,https://www.yellowpages-uae.com/al-tasamoh-kitchen-and-mandi-rest-121346.html,
Al Thahabi Cafeteria,N/A,Sharjah,N/A,06-5650164,N/A,https://www.yellowpages-uae.com/al-thahabi-cafeteria-148302.html,
